epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,691.265,0.55584,0.6983,0.01021,0.73984,0.72745,0.76824,0.64847,0.61812,0.99338,0.01699,0.000156917,0.000156917,0.000156917
65,701.889,0.57833,0.68394,0.01037,0.73915,0.74716,0.7615,0.64873,0.60915,0.97908,0.01672,0.000152789,0.000152789,0.000152789
66,712.512,0.56501,0.68823,0.01058,0.73542,0.71453,0.7573,0.63494,0.63214,1.01066,0.01768,0.00014866,0.00014866,0.00014866
67,724.631,0.54926,0.65537,0.01013,0.72615,0.7223,0.76365,0.64867,0.61647,0.9906,0.0169,0.000144532,0.000144532,0.000144532
68,737.315,0.56185,0.69685,0.01018,0.73126,0.73719,0.76272,0.64809,0.62415,0.98344,0.01712,0.000140404,0.000140404,0.000140404
69,749.883,0.54614,0.66254,0.00995,0.76991,0.68858,0.77282,0.66083,0.59784,0.97765,0.01617,0.000136276,0.000136276,0.000136276
70,762.615,0.54396,0.6546,0.00982,0.74117,0.73287,0.7681,0.65648,0.60636,0.99437,0.01657,0.000132147,0.000132147,0.000132147
71,775.327,0.54743,0.66607,0.01037,0.76213,0.70722,0.76489,0.65069,0.60137,1.00135,0.01647,0.000128019,0.000128019,0.000128019
72,788.164,0.54364,0.67368,0.01017,0.76285,0.71992,0.76764,0.65363,0.60084,1.0157,0.0166,0.000123891,0.000123891,0.000123891
73,800.789,0.55461,0.68015,0.01021,0.79109,0.6937,0.76307,0.64359,0.62259,0.98931,0.01723,0.000119762,0.000119762,0.000119762
74,813.531,0.53435,0.64393,0.00998,0.7882,0.70216,0.76881,0.65213,0.62605,0.98117,0.01719,0.000115634,0.000115634,0.000115634
75,826.182,0.54849,0.64742,0.01018,0.83294,0.6714,0.77755,0.66144,0.60469,0.97355,0.01644,0.000111506,0.000111506,0.000111506
76,838.995,0.54225,0.63044,0.00997,0.7988,0.70512,0.77412,0.65358,0.61094,0.97738,0.01675,0.000107378,0.000107378,0.000107378
77,851.353,0.53186,0.63171,0.00987,0.74441,0.74592,0.774,0.66143,0.60115,0.9875,0.01639,0.000103249,0.000103249,0.000103249
78,863.848,0.52807,0.62117,0.00943,0.816,0.68218,0.76991,0.65457,0.60593,1.00003,0.0164,9.91209e-05,9.91209e-05,9.91209e-05
79,876.319,0.5348,0.63526,0.00989,0.78726,0.70779,0.76914,0.65374,0.60199,1.00153,0.01638,9.49926e-05,9.49926e-05,9.49926e-05
80,888.731,0.52199,0.61836,0.00987,0.79314,0.72205,0.7716,0.66025,0.60832,0.97797,0.0166,9.08643e-05,9.08643e-05,9.08643e-05
81,900.986,0.52576,0.61735,0.00971,0.77133,0.72767,0.76709,0.65725,0.61352,0.99427,0.01673,8.6736e-05,8.6736e-05,8.6736e-05
82,913.489,0.53467,0.60846,0.00966,0.75753,0.71902,0.76159,0.65062,0.59414,1.01772,0.01609,8.26077e-05,8.26077e-05,8.26077e-05
83,925.794,0.50942,0.60871,0.00951,0.75517,0.73489,0.76848,0.65527,0.60005,0.99524,0.01637,7.84794e-05,7.84794e-05,7.84794e-05
84,938.29,0.52614,0.58559,0.00962,0.79282,0.70656,0.77473,0.65722,0.60095,0.98541,0.01647,7.43511e-05,7.43511e-05,7.43511e-05
85,950.779,0.53782,0.62138,0.0098,0.7338,0.75148,0.77369,0.66354,0.59239,0.98686,0.01613,7.02228e-05,7.02228e-05,7.02228e-05
86,963.106,0.51759,0.60151,0.00953,0.7779,0.70479,0.75838,0.65009,0.60117,1.04717,0.01655,6.60945e-05,6.60945e-05,6.60945e-05
87,975.509,0.52507,0.61349,0.00955,0.78402,0.70144,0.76346,0.65058,0.59704,1.02839,0.01637,6.19662e-05,6.19662e-05,6.19662e-05
88,987.899,0.5043,0.57761,0.00931,0.80868,0.69341,0.77039,0.65653,0.60248,0.99555,0.01652,5.78379e-05,5.78379e-05,5.78379e-05
89,1000.28,0.52985,0.61121,0.00937,0.76464,0.72448,0.76492,0.65495,0.59931,1.02005,0.01638,5.37096e-05,5.37096e-05,5.37096e-05
90,1012.69,0.50291,0.59002,0.00926,0.78357,0.71655,0.76728,0.65452,0.59627,1.01976,0.01624,4.95813e-05,4.95813e-05,4.95813e-05
91,1051.41,0.39538,0.41339,0.00981,0.72649,0.70192,0.72419,0.60812,0.64987,1.20966,0.01802,4.5453e-05,4.5453e-05,4.5453e-05
92,1063.98,0.37241,0.34374,0.00867,0.71894,0.69836,0.73419,0.62266,0.62529,1.17928,0.01706,4.13247e-05,4.13247e-05,4.13247e-05
93,1076.55,0.35971,0.32859,0.0086,0.73303,0.69994,0.73731,0.62606,0.61809,1.16171,0.01686,3.71964e-05,3.71964e-05,3.71964e-05
94,1089,0.3535,0.32207,0.00822,0.72755,0.71723,0.73977,0.62844,0.61474,1.1637,0.01677,3.30681e-05,3.30681e-05,3.30681e-05
95,1101.37,0.34795,0.30564,0.00805,0.74656,0.70215,0.73936,0.62702,0.61018,1.13114,0.0167,2.89398e-05,2.89398e-05,2.89398e-05
96,1113.78,0.35015,0.31241,0.00817,0.74314,0.68911,0.73921,0.6278,0.61368,1.1434,0.01681,2.48115e-05,2.48115e-05,2.48115e-05
97,1126.13,0.34838,0.2988,0.00806,0.75066,0.69162,0.734,0.6224,0.61116,1.16789,0.0167,2.06832e-05,2.06832e-05,2.06832e-05
98,1138.57,0.34125,0.30136,0.00775,0.74804,0.7039,0.73628,0.62553,0.60212,1.16843,0.0164,1.65549e-05,1.65549e-05,1.65549e-05
99,1150.99,0.33732,0.31529,0.00786,0.77373,0.68663,0.74353,0.63164,0.60147,1.14501,0.01645,1.24266e-05,1.24266e-05,1.24266e-05
100,1163.42,0.3451,0.31224,0.00799,0.7435,0.71775,0.74193,0.63244,0.60265,1.1285,0.01631,8.2983e-06,8.2983e-06,8.2983e-06
