epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,539.536,0.53805,0.60378,0.00959,0.81749,0.72283,0.80643,0.68942,0.61437,0.90227,0.01614,0.000165174,0.000165174,0.000165174
63,547.773,0.53817,0.57804,0.00963,0.79244,0.74043,0.79162,0.68668,0.5918,0.88912,0.0152,0.000161045,0.000161045,0.000161045
64,556.117,0.54276,0.58556,0.00992,0.83144,0.73212,0.81001,0.6959,0.6113,0.85136,0.01584,0.000156917,0.000156917,0.000156917
65,564.452,0.54225,0.60239,0.0095,0.80639,0.75506,0.81338,0.69644,0.60876,0.88027,0.01583,0.000152789,0.000152789,0.000152789
66,572.748,0.53242,0.59551,0.00974,0.80466,0.74902,0.8011,0.68756,0.60895,0.90332,0.01573,0.00014866,0.00014866,0.00014866
67,581.024,0.52634,0.57266,0.00947,0.80911,0.73552,0.7996,0.68288,0.60999,0.86954,0.01571,0.000144532,0.000144532,0.000144532
68,589.342,0.52278,0.55964,0.00942,0.8158,0.72405,0.80335,0.6827,0.63987,0.92865,0.01692,0.000140404,0.000140404,0.000140404
69,597.637,0.54593,0.58608,0.00989,0.80971,0.74713,0.80885,0.6909,0.6145,0.91469,0.0159,0.000136276,0.000136276,0.000136276
70,606.001,0.52448,0.58141,0.00957,0.80049,0.75315,0.80787,0.69123,0.60968,0.8983,0.01576,0.000132147,0.000132147,0.000132147
71,614.217,0.52398,0.56291,0.00949,0.81835,0.73551,0.80536,0.69363,0.6067,0.87847,0.01545,0.000128019,0.000128019,0.000128019
72,622.495,0.52457,0.57081,0.00969,0.79306,0.74127,0.80434,0.6887,0.61415,0.88955,0.01593,0.000123891,0.000123891,0.000123891
73,630.724,0.51839,0.55034,0.00914,0.82179,0.73362,0.80972,0.69887,0.60105,0.89547,0.01539,0.000119762,0.000119762,0.000119762
74,638.98,0.50634,0.55937,0.00914,0.81055,0.74141,0.81287,0.69805,0.5964,0.87081,0.01525,0.000115634,0.000115634,0.000115634
75,647.246,0.50813,0.55293,0.00918,0.80063,0.74439,0.80257,0.69438,0.58611,0.88403,0.01485,0.000111506,0.000111506,0.000111506
76,655.494,0.51428,0.52385,0.00947,0.8169,0.73624,0.80071,0.68682,0.6056,0.87463,0.01561,0.000107378,0.000107378,0.000107378
77,663.734,0.51162,0.55646,0.00909,0.79476,0.75919,0.81367,0.70028,0.59933,0.84982,0.01533,0.000103249,0.000103249,0.000103249
78,672.053,0.52242,0.55325,0.00914,0.86392,0.7151,0.81202,0.70311,0.59323,0.87745,0.01519,9.91209e-05,9.91209e-05,9.91209e-05
79,680.323,0.50292,0.53469,0.00867,0.80016,0.76149,0.81209,0.70138,0.58652,0.8677,0.01506,9.49926e-05,9.49926e-05,9.49926e-05
80,688.561,0.49731,0.53899,0.00875,0.8071,0.74167,0.80563,0.69306,0.60588,0.90164,0.01557,9.08643e-05,9.08643e-05,9.08643e-05
81,696.809,0.50373,0.51789,0.00892,0.81824,0.75104,0.81057,0.69621,0.59638,0.87506,0.01523,8.6736e-05,8.6736e-05,8.6736e-05
82,705.075,0.50047,0.54999,0.00899,0.84112,0.73404,0.81492,0.70329,0.5981,0.86443,0.01529,8.26077e-05,8.26077e-05,8.26077e-05
83,713.322,0.4894,0.52592,0.00874,0.84717,0.72269,0.80797,0.69597,0.58749,0.90147,0.01504,7.84794e-05,7.84794e-05,7.84794e-05
84,721.608,0.4936,0.51762,0.0087,0.7921,0.75174,0.80549,0.69639,0.58813,0.90498,0.01508,7.43511e-05,7.43511e-05,7.43511e-05
85,729.835,0.4984,0.52788,0.00876,0.77679,0.75982,0.80366,0.6924,0.59582,0.9058,0.01536,7.02228e-05,7.02228e-05,7.02228e-05
86,738.047,0.49514,0.53321,0.00874,0.82101,0.74086,0.80643,0.69661,0.60139,0.90402,0.01558,6.60945e-05,6.60945e-05,6.60945e-05
87,746.232,0.49724,0.53185,0.00873,0.83878,0.72462,0.80463,0.69378,0.59464,0.90605,0.01526,6.19662e-05,6.19662e-05,6.19662e-05
88,754.446,0.48724,0.52638,0.00869,0.81538,0.73149,0.81683,0.70201,0.59195,0.88535,0.01524,5.78379e-05,5.78379e-05,5.78379e-05
89,762.727,0.48354,0.52371,0.0086,0.84001,0.73306,0.80701,0.69373,0.59038,0.91775,0.01519,5.37096e-05,5.37096e-05,5.37096e-05
90,770.983,0.48247,0.5057,0.00856,0.82604,0.74119,0.80556,0.69745,0.58847,0.88992,0.01513,4.95813e-05,4.95813e-05,4.95813e-05
